fid,gid,nam,provincia,name_es,in1,id,fdc,sag,value
"267","243",Tala,Entre Ríos,Tala,"30091","1298",ATER - Direc. de Catastro,IGN,"31309"
"268","244",Gualeguay,Entre Ríos,Gualeguay,"30049","1299",ATER - Direc. de Catastro,IGN,"57303"
"269","245",Federación,Entre Ríos,Federación,"30028","1300",ATER - Direc. de Catastro,IGN,"78691"
"270","246",La Paz,Entre Ríos,La Paz,"30070","1301",ATER - Direc. de Catastro,IGN,"75407"
"271","247",Feliciano,Entre Ríos,Feliciano,"30042","1302",ATER - Direc. de Catastro,IGN,"16803"
"272","518",Belén,Catamarca,Belén,"10035","1303",IDE Catamarca,IGN,"30569"
"273","338",Cafayate,Salta,Cafayate,"66021","1304",IDE Salta,IGN,"17829"
"277","274",Morón,Buenos Aires,Morón,"06568","1308",ARBA - Gerencia de Servicios Catastrales,IGN,"331183"
"278","275",Chacabuco,Buenos Aires,Chacabuco,"06210","1309",ARBA - Gerencia de Servicios Catastrales,IGN,"52731"
"279","249",Brandsen,Buenos Aires,Brandsen,"06119","1310",ARBA - Gerencia de Servicios Catastrales,IGN,"32448"
"281","269",Junín,Buenos Aires,Junín,"06413","1312",ARBA - Gerencia de Servicios Catastrales,IGN,"103787"
"282","387",Tumbaya,Jujuy,Tumbaya,"38098","1313",Direc. Grl. de Inmuebles,IGN,"5381"
"280","268",San Andrés de Giles,Buenos Aires,San Andrés de Giles,"06728","1311",ARBA - Gerencia de Servicios Catastrales,IGN,"26510"
"283","250",Carlos Casares,Buenos Aires,Carlos Casares,"06147","1314",ARBA - Gerencia de Servicios Catastrales,IGN,"23100"
"284","283",General Felipe Varela,La Rioja,General Felipe Varela,"46028","1315",IGN,IGN,"11372"
"285","284",Chivilcoy,Buenos Aires,Chivilcoy,"06224","1316",ARBA - Gerencia de Servicios Catastrales,IGN,"70839"
"286","285",Alberti,Buenos Aires,Alberti,"06021","1317",ARBA - Gerencia de Servicios Catastrales,IGN,"12982"
"287","286",Bragado,Buenos Aires,Bragado,"06112","1318",ARBA - Gerencia de Servicios Catastrales,IGN,"46504"
"319","307",Tres Lomas,Buenos Aires,Tres Lomas,"06847","1350",ARBA - Gerencia de Servicios Catastrales,IGN,"9164"
"320","308",Ayacucho,Buenos Aires,Ayacucho,"06042","1351",ARBA - Gerencia de Servicios Catastrales,IGN,"21977"
"288","287",General Las Heras,Buenos Aires,General Las Heras,"06329","1319",ARBA - Gerencia de Servicios Catastrales,IGN,"18022"
"289","288",Marcos Paz,Buenos Aires,Marcos Paz,"06525","1320",ARBA - Gerencia de Servicios Catastrales,IGN,"67011"
"290","251",Carlos Tejedor,Buenos Aires,Carlos Tejedor,"06154","1321",ARBA - Gerencia de Servicios Catastrales,IGN,"14079"
"291","252",25 de Mayo,Buenos Aires,25 de Mayo,"06854","1322",ARBA - Gerencia de Servicios Catastrales,IGN,"35563"
"336","327",Moreno,Santiago del Estero,Moreno,"86119","1367",Catastro Provinciales,IGN,"40460"
"337","403",Famaillá,Tucumán,Famaillá,"90028","1368",IDE Tucuman,IGN,"42702"
"338","404",Capital,Tucumán,Capital,"90084","1369",IDE Tucuman,IGN,"590342"
"292","253",9 de Julio,Buenos Aires,9 de Julio,"06588","1323",ARBA - Gerencia de Servicios Catastrales,IGN,"52607"
"293","254",Pehuajó,Buenos Aires,Pehuajó,"06609","1324",ARBA - Gerencia de Servicios Catastrales,IGN,"44783"
"514","493",Chimbas,San Juan,Chimbas,"70042","1545",Direc. de Catastro,IGN,"105627"
"515","494",9 de Julio,San Juan,9 de Julio,"70063","1546",Direc. de Catastro,IGN,"12514"
"294","255",Trenque Lauquen,Buenos Aires,Trenque Lauquen,"06826","1325",ARBA - Gerencia de Servicios Catastrales,IGN,"49309"
"295","256",General Belgrano,Buenos Aires,General Belgrano,"06301","1326",ARBA - Gerencia de Servicios Catastrales,IGN,"20791"
"296","257",Monte,Buenos Aires,Monte,"06547","1327",ARBA - Gerencia de Servicios Catastrales,IGN,"24868"
"297","258",Roque Pérez,Buenos Aires,Roque Pérez,"06693","1328",ARBA - Gerencia de Servicios Catastrales,IGN,"13977"
"298","259",Olavarría,Buenos Aires,Olavarría,"06595","1329",ARBA - Gerencia de Servicios Catastrales,IGN,"125751"
"299","260",Merlo,Buenos Aires,Merlo,"06539","1330",ARBA - Gerencia de Servicios Catastrales,IGN,"582486"
"300","290",Ezeiza,Buenos Aires,Ezeiza,"06270","1331",ARBA - Gerencia de Servicios Catastrales,IGN,"201511"
"339","294",San Vicente,Buenos Aires,San Vicente,"06778","1370",ARBA - Gerencia de Servicios Catastrales,IGN,"98215"
"340","295",Lobos,Buenos Aires,Lobos,"06483","1371",ARBA - Gerencia de Servicios Catastrales,IGN,"41760"
"341","296",General Alvear,Buenos Aires,General Alvear,"06287","1372",ARBA - Gerencia de Servicios Catastrales,IGN,"13031"
"342","297",Quilmes,Buenos Aires,Quilmes,"06658","1373",ARBA - Gerencia de Servicios Catastrales,IGN,"633391"
"343","298",Pila,Buenos Aires,Pila,"06630","1374",ARBA - Gerencia de Servicios Catastrales,IGN,"4642"
"344","299",General La Madrid,Buenos Aires,General La Madrid,"06322","1375",ARBA - Gerencia de Servicios Catastrales,IGN,"11618"
"301","261",Esteban Echeverría,Buenos Aires,Esteban Echeverría,"06260","1332",ARBA - Gerencia de Servicios Catastrales,IGN,"338480"
"302","262",Arrecifes,Buenos Aires,Arrecifes,"06077","1333",ARBA - Gerencia de Servicios Catastrales,IGN,"32215"
"303","263",Capitán Sarmiento,Buenos Aires,Capitán Sarmiento,"06140","1334",ARBA - Gerencia de Servicios Catastrales,IGN,"15965"
"304","302",Tapalqué,Buenos Aires,Tapalqué,"06798","1335",ARBA - Gerencia de Servicios Catastrales,IGN,"10783"
"305","388",Dr. Manuel Belgrano,Jujuy,Dr. Manuel Belgrano,"38021","1336",Direc. Grl. de Inmuebles,IGN,"320990"
"306","389",Rinconada,Jujuy,Rinconada,"38049","1337",Direc. Grl. de Inmuebles,IGN,"1802"
"307","390",Ramón Lista,Formosa,Ramón Lista,"34063","1338",IGN,IGN,"17729"
"345","300",Bolívar,Buenos Aires,Bolívar,"06105","1376",ARBA - Gerencia de Servicios Catastrales,IGN,"37594"
"346","328",Chacabuco,Chaco,Chacabuco,"22028","1377",IDE Chaco,IGN,"34598"
"347","406",Lules,Tucumán,Lules,"90063","1378",IDE Tucuman,IGN,"93552"
"348","407",Yerba Buena,Tucumán,Yerba Buena,"90119","1379",IDE Tucuman,IGN,"102741"
"308","264",Carmen de Areco,Buenos Aires,Carmen de Areco,"06161","1339",ARBA - Gerencia de Servicios Catastrales,IGN,"17499"
"309","265",Salto,Buenos Aires,Salto,"06714","1340",ARBA - Gerencia de Servicios Catastrales,IGN,"39425"
"310","266",Exaltación de la Cruz,Buenos Aires,Exaltación de la Cruz,"06266","1341",ARBA - Gerencia de Servicios Catastrales,IGN,"40159"
"311","267",San Miguel,Buenos Aires,San Miguel,"06760","1342",ARBA - Gerencia de Servicios Catastrales,IGN,"328835"
"379","329",Guaymallén,Mendoza,Guaymallén,"50028","1410",IDE Mendoza,IGN,"321966"
"380","330",Juárez Celman,Córdoba,Juárez Celman,"14056","1411",IDE Cordoba,IGN,"68631"
"381","331",Capital,Salta,Capital,"66028","1412",Direc. Grl. de Inmuebles,IGN,"627704"
"312","270",Mercedes,Buenos Aires,Mercedes,"06532","1343",ARBA - Gerencia de Servicios Catastrales,IGN,"72980"
"313","271",Pilar,Buenos Aires,Pilar,"06638","1344",ARBA - Gerencia de Servicios Catastrales,IGN,"394754"
"314","272",Luján,Buenos Aires,Luján,"06497","1345",ARBA - Gerencia de Servicios Catastrales,IGN,"111008"
"382","332",Silípica,Santiago del Estero,Silípica,"86189","1413",Catastro Provinciales,IGN,"9766"
"383","333",La Candelaria,Salta,La Candelaria,"66084","1414",IDE Salta,IGN,"7205"
"384","425",Rancul,La Pampa,Rancul,"42126","1415",Direc. Grl. de Catastro,IGN,"11133"
"315","273",Hurlingham,Buenos Aires,Hurlingham,"06408","1346",ARBA - Gerencia de Servicios Catastrales,IGN,"185641"
"316","392",Biedma,Chubut,Biedma,"26007","1347",IGN,IGN,"103173"
